what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1284452310750
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.commons.ui",1284452310751
started,bundle,org.eclipse.mylyn.context.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.core",1284452310751
started,bundle,org.eclipse.mylyn.context.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.ui",1284452310752
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.monitor.ui",1284452310752
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1284452310753
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1284452310754
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1284452310754
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1284452310755
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1284452310756
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1284452310757
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1284452310757
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1284452310759
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1284452310759
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1284452310760
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1284452310761
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1284452310762
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1284452310762
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1284452310763
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1284452310763
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1284452310764
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1284452310765
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1284452310765
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1284452310766
os,sysinfo,,,"win32",1284452310768
arch,sysinfo,,,"x86",1284452310768
ws,sysinfo,,,"win32",1284452310768
locale,sysinfo,,,"de_CH",1284452310768
processors,sysinfo,,,"2",1284452310769
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1284452310769
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1284452310769
java.specification.name,sysinfo,,,"Java Platform API Specification",1284452310769
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284452310769
java.specification.version,sysinfo,,,"1.6",1284452310769
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1284452310769
java.version,sysinfo,,,"1.6.0_21",1284452310769
java.vm.info,sysinfo,,,"mixed mode, sharing",1284452310769
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1284452310769
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1284452310769
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284452310769
java.vm.specification.version,sysinfo,,,"1.0",1284452310769
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1284452310769
java.vm.version,sysinfo,,,"17.0-b17",1284452310769
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284452315700
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284452320921
